Ticker,Description,Last,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
BAC,Bank of America Corporation,40.95,-9.04042648,-4.07,Sell,340033893,13924387918.35,330458375041.0132,11.91397488,3.5932,208000,Finance
PFE,"Pfizer, Inc.",48.65,1.9488684,0.93,Neutral,165442804,8048792414.599999,273575826439.8683,12.41628161,3.9236,79000,Health Technology
CMCSA,Comcast Corporation,47.21,0.29742936,0.14,Sell,122148172,5766615200.12,214013807422.4546,15.49388399,3.0914,189000,Consumer Services
INTC,Intel Corporation,48.07,0.75455879,0.36,Sell,217449854,10452814481.78,195741041246.6307,9.86498168,4.8949,121100,Electronic Technology
T,AT&T Inc.,23.87,-0.16729402,-0.04,Sell,199013263,4750446587.81,170500844751.69846,8.65865141,2.7698,203000,Communications
CSX,CSX Corporation,37.43,9.09355873,3.12,Strong Buy,101565092,3801581393.56,82098567532.9833,21.03725782,1.6811,20900,Transportation
BSX,Boston Scientific Corporation,43.96,-2.52771619,-1.14,Strong Buy,46256690,2033444092.4,62718817888,64.04428904,0.6921,41000,Health Technology
GM,General Motors Company,42.4,-10.60510226,-5.03,Sell,104266330,4420892392,61608107855.76837,6.69709445,6.7824,157000,Consumer Durables
UBER,"Uber Technologies, Inc.",29.83,-14.72269868,-5.15,Strong Sell,192908676,5754465805.08,58301663178.57094,,-0.264,29300,Technology Services
EPD,Enterprise Products Partners L.P.,25.43,6.8487395,1.63,Strong Buy,41313173,1050593989.39,55491564948.40616,11.92608116,2.1064,6911,Industrial Services
KDP,Keurig Dr Pepper Inc.,38.88,1.51436031,0.58,Strong Buy,29870649,1161370833.1200001,55137996554.85315,25.6954612,1.5151,27500,Consumer Non-Durables
SLB,Schlumberger N.V.,38.94,-1.29277567,-0.51,Buy,97420793,3793565679.419999,55027439907,29.17076865,1.3429,92000,Industrial Services
SNAP,Snap Inc.,33.09,-15.4789272,-6.06,Sell,128040310,4236853857.9000006,53747982541.94084,,-0.3205,5661,Technology Services
KHC,The Kraft Heinz Company,39.84,0.27686886,0.11,Buy,37241944,1483719048.96,48753811868.64782,48.82669274,0.8268,36000,Consumer Non-Durables
EXC,Exelon Corporation,44.28,3.94366197,1.68,Strong Buy,44704286,1979505784.08,43400465791.22838,24.77738841,1.7424,31518,Utilities
WBA,"Walgreens Boots Alliance, Inc.",47.72,3.29004329,1.52,Sell,35407609,1689651101.48,41195339611.20548,6.30150659,7.43,315000,Retail Trade
WMB,"Williams Companies, Inc. (The)",33.47,9.05832519,2.78,Strong Buy,54667396,1829717744.12,40667045963.11647,26.35384863,1.2461,4783,Industrial Services
HPQ,HP Inc.,36.35,5.51523948,1.9,Buy,93426283,3396045387.05,39356962969.29957,6.52890941,5.6821,51000,Electronic Technology
CARR,Carrier Global Corporation,45,-0.50851205,-0.23,Sell,34758229,1564120305,38385297524.73845,24.55314139,1.9174,58000,Producer Manufacturing
LCID,"Lucid Group, Inc.",22.63,-14.11764706,-3.72,Sell,200700772,4541858470.36,37413203572,,-6.7149,3900,Consumer Durables
CPNG,"Coupang, Inc.",21.1,-15.6,-3.9,Sell,68315988,1441467346.8000002,36955415493.42757,,-0.8851,,Retail Trade
BKR,Baker Hughes Company,33.22,12.61016949,3.72,Strong Buy,62618591,2080189593.02,34132582842.435753,,-0.3577,54000,Industrial Services
MPLX,MPLX LP,32.49,2.58920114,0.82,Strong Buy,14887907,483708098.43,32965252424.19712,11.41197873,2.8592,5836,Industrial Services
GLW,Corning Incorporated,38.85,-5.47445255,-2.25,Neutral,23369832,907917973.2,32861252075.32795,31.97547794,1.3403,61200,Electronic Technology
IAU,iShares Gold Trust Shares of the iShares Gold Trust,37.4,4.00444939,1.44,Strong Buy,127854067,4781742105.8,31354100000,,-1.63,,Miscellaneous
LVS,Las Vegas Sands Corp.,40.8,-8.35579515,-3.72,Sell,48734069,1988350015.2,31170780854.86901,,-1.2578,44700,Consumer Services
HAL,Halliburton Company,34.13,4.91853674,1.6,Buy,81565826,2783841641.38,30668242942.230286,20.461378,1.6299,40000,Industrial Services
FITB,Fifth Third Bancorp,44.55,-7.36119775,-3.54,Neutral,36069172,1606881612.6,30546711438.579914,12.41453278,3.7773,19112,Finance
XPEV,XPeng Inc.,29.53,-15.70082786,-5.5,Strong Sell,58432620,1725515268.6000001,28823125683.9929,,-0.7889,5084,Consumer Durables
TWTR,"Twitter, Inc.",33.39,-5.38396146,-1.9,Strong Sell,90494817,3021621939.63,26733410150.55479,,-0.2775,7500,Technology Services
FE,FirstEnergy Corp.,42.88,3.67504836,1.52,Strong Buy,25727973,1103215482.24,24456365116.43941,18.72930372,2.269,12395,Utilities
LUV,Southwest Airlines Company,40.68,-9.88037218,-4.46,Strong Sell,49273719,2004454888.92,24096465721.425488,25.98042272,1.6534,55100,Transportation
RPRX,Royalty Pharma plc,38.42,-0.12997141,-0.05,Sell,5796705,222709406.10000005,23327719995.362595,25.48824892,1.5106,66,Health Technology
FOX,Fox Corporation,39.07,2.19722731,0.84,Buy,5321550,207912958.5,23125641056.767773,16.13732854,2.4641,9000,Consumer Services
PARA,Paramount Global,34.07,15.25710419,4.51,Neutral,109342831,3725310252.17,22228377797.56433,5.13556203,7.0167,22965,Consumer Services
TECK,Teck Resources Ltd,41.49,12.62214984,4.65,Strong Buy,50510794,2095692843.06,22135632392.184124,9.58207185,4.25532544,10600,Non-Energy Minerals
DAL,"Delta Air Lines, Inc.",34.52,-16.8993741,-7.02,Strong Sell,100936521,3484328704.9200006,22090375748.966084,88.03274741,0.4351,83000,Transportation
KEY,KeyCorp,23.22,-8.22134387,-2.08,Sell,58175859,1350843445.98,21542609966.36424,9.18107543,2.66,,Finance
CTRA,Coterra Energy Inc.,26.11,14.97137825,3.4,Strong Buy,68172762,1779990815.82,21247219862.11956,15.00411716,1.709,936,Energy Minerals
RF,Regions Financial Corporation,22.61,-6.91642651,-1.68,Neutral,58015620,1311733168.2,21188874008.08152,9.40888282,2.5094,19626,Finance
AVTR,"Avantor, Inc.",33.11,-6.44249788,-2.28,Sell,22803018,755007925.98,20196045014.713505,40.70463887,0.8643,13500,Process Industries
PPL,PPL Corporation,26.45,0.07567159,0.02,Sell,38858263,1027801056.35,19856435236.70511,150.7826087,0.1738,5607,Utilities
SYF,Synchrony Financial,37.28,-13.68372308,-5.91,Sell,43139770,1608250625.6000001,19433014284.733353,5.31240609,7.3816,18000,Finance
CHWY,"Chewy, Inc.",45.27,7.35119753,3.1,Sell,21716908,983124425.16,18921931365.036144,1946.46017699,0.0269,18500,Retail Trade
EDR,"Endeavor Group Holdings, Inc.",27.05,-12.91049581,-4.01,Strong Sell,4171769,112846351.45,18651645418.10214,,,6400,Consumer Services
MGM,MGM Resorts International,41.54,-7.93439716,-3.58,Sell,29887478,1241525836.12,18243215525.164017,17.71195097,2.4851,59000,Consumer Services
CNP,"CenterPoint Energy, Inc (Holding Co)",28.99,5.88020453,1.61,Strong Buy,27163877,787480794.2299999,18232855511.547806,12.46413912,2.2829,12901,Utilities
ACI,"Albertsons Companies, Inc.",36.16,21.66890983,6.44,Buy,18449340,667128134.4,17469553186.222965,20.78239609,1.8165,300000,Retail Trade
ACGL,Arch Capital Group Ltd.,46.02,-3.19730753,-1.52,Buy,10766303,495465264.06000006,17443517207.74871,8.89925266,5.3506,4300,Finance
AGR,"Avangrid, Inc.",45.03,0.22256844,0.1,Sell,4252756,191501602.68,17407584782.369225,21.94308904,2.0716,7348,Utilities
MRO,Marathon Oil Corporation,23.81,8.82084095,1.93,Strong Buy,132267623,3149292103.6299996,17399518895.024464,18.82401316,1.216,1531,Energy Minerals
WMG,Warner Music Group Corp.,33.02,-9.55902492,-3.49,Strong Sell,9494144,313496634.88000005,16999151157.196178,45.72033338,0.7559,5900,Commercial Services
NLOK,NortonLifeLock Inc.,29.19,2.60105448,0.74,Buy,29327527,856070513.13,16984532298.42137,19.29961089,1.5646,2800,Technology Services
ROL,"Rollins, Inc.",34.01,5.85122938,1.88,Buy,11862323,403437605.2299999,16735835240.08662,46.97628736,0.7127,16482,Consumer Services
CAG,"ConAgra Brands, Inc.",34.4,-2.6874116,-0.95,Neutral,20548636,706873078.4,16501601175.112652,15.19687459,2.2871,18600,Consumer Non-Durables
XP,XP Inc.,29.21,-9.70633694,-3.14,Strong Sell,25797739,753551956.19,16344418794.9582,26.78263865,1.191146,,Technology Services
DISH,DISH Network Corporation,30.16,-8.04878049,-2.64,Strong Sell,14380493,433715668.88,15954832954.879278,8.1638031,4.5672,14500,Consumer Services
PINS,"Pinterest, Inc.",24.18,-8.23529412,-2.17,Sell,51902984,1255014153.12,15913943587.91817,54.81530343,0.4889,3225,Technology Services
IP,International Paper Company,42.21,-7.0673712,-3.21,Strong Sell,29317325,1237484288.25,15886342879.263084,9.49031417,4.4968,31000,Process Industries
XM,Qualtrics International Inc.,27.5,-7.40740741,-2.2,Strong Sell,4308414,118481385,15688196269.73684,,-1.9999,4808,Technology Services
CG,The Carlyle Group Inc.,43.64,-7.42469241,-3.5,Sell,12108603,528419434.92,15549697193.7435,5.62892507,8.3782,1850,Finance
PATH,"UiPath, Inc.",28.3,-13.69319915,-4.49,Strong Sell,20173329,570905210.7,14863957295.918106,,-0.8503,,Technology Services
AES,The AES Corporation,21.82,3.36333491,0.71,Sell,41495907,905440690.74,14547694629.981361,,-0.6195,8450,Utilities
APA,APA Corporation,39.48,17.25571726,5.81,Strong Buy,66210203,2613978814.4399996,14342067385.874607,14.64086285,2.6225,2253,Energy Minerals
HWM,Howmet Aerospace Inc.,33.85,-5.31468531,-1.9,Buy,25488794,862795676.9000001,14179929455.63558,59.76676385,0.5902,19900,Electronic Technology
BEN,"Franklin Resources, Inc.",28.2,-6.65342602,-2.01,Sell,14497991,408843346.2,14159907344.347824,7.7130258,3.7925,10300,Finance
CPB,Campbell Soup Company,45.55,0.79663642,0.36,Strong Buy,13442348,612298951.4,13744160410,14.52209399,3.1514,14100,Consumer Non-Durables
CLF,Cleveland-Cliffs Inc.,25.95,20.64156206,4.44,Strong Buy,167971241,4358853703.95,13634380802.00118,4.68456178,5.9771,26000,Non-Energy Minerals
DISCA,"Discovery, Inc. - Series A",26.89,-4.78045326,-1.35,Sell,42039034,1130429624.26,13587123923.142609,18.7377499,1.7951,11000,Consumer Services
IPG,"Interpublic Group of Companies, Inc. (The)",34.2,-8.75133404,-3.28,Sell,20043083,685473438.6,13473430090.142262,15.02199874,2.4224,55600,Commercial Services
FNF,"FNF Group of Fidelity National Financial, Inc.",47,-1.48815762,-0.71,Sell,13090002,615230094,13327800384.293194,5.6614064,8.5001,28290,Finance
PLUG,"Plug Power, Inc.",23.07,2.124834,0.48,Sell,134901783,3112184133.81,13296528728.107082,,-0.8141,2449,Electronic Technology
ELAN,Elanco Animal Health Incorporated,27.95,0.287047,0.08,Sell,26711765,746593831.75,13223108031.519209,,-0.9687,9800,Process Industries
LKQ,LKQ Corporation,44.95,-6.41265875,-3.08,Sell,12642986,568302220.7,12811385584.773357,12.83458975,3.6721,46000,Consumer Durables
OVV,Ovintiv Inc. (DE),48.65,17.48369959,7.24,Strong Buy,27691544,1347193615.6,12701756708.59681,8.76782174,5.4421,1713,Energy Minerals
FHN,First Horizon Corporation,23.7,29.8630137,5.45,Strong Buy,192535080,4563081396,12647118352.421448,13.67986704,1.7617,7867,Finance
LBTYA,Liberty Global plc,24,-8.29193733,-2.17,Strong Sell,8487804,203707296,12646051983.107569,1.06264077,24.0941,11200,Consumer Services
NWS,News Corporation,21.35,-4.43151298,-0.99,Sell,3143960,67123546,12533235807.710049,26.25584462,0.8382,24000,Consumer Services
NI,NiSource Inc,30.48,5.17598344,1.5,Strong Buy,29089775,886656342,12356135129.7634,22.91473587,1.3464,7272,Utilities
WTRG,"Essential Utilities, Inc.",48.8,3.01878826,1.43,Strong Buy,10853448,529648262.4,12333852257.913225,28.18876029,1.6794,3211,Utilities
LYFT,"Lyft, Inc.",35.28,-8.62470862,-3.33,Strong Sell,29257178,1032193239.84,12297102834.801516,,-3.035,4453,Technology Services
CNA,CNA Financial Corporation,45.15,-2.10320902,-0.97,Buy,1148506,51855045.9,12252138546.618319,10.39446837,4.4234,5600,Finance
EQH,"Equitable Holdings, Inc.",30.65,-7.37382895,-2.44,Sell,18052185,553299470.25,11939948652.328243,,-1.059,7800,Finance
UAL,"United Airlines Holdings, Inc.",36.71,-19.93456925,-9.14,Strong Sell,98249958,3606755958.18,11917032727.887293,,-6.1612,84100,Transportation
DT,"Dynatrace, Inc.",41.43,-5.21619767,-2.28,Sell,12419951,514558569.93,11838400393.91402,159.40155153,0.2772,2779,Technology Services
BILI,Bilibili Inc.,25.46,-19.07183725,-6,Strong Sell,40186005,1023135687.3,11599542403.523,,-2.2415,8646,Technology Services
WRK,Westrock Company,43.71,-5.47145329,-2.53,Sell,15520912,678419063.52,11505102621.02098,13.69393303,3.2683,49900,Process Industries
BZ,KANZHUN LIMITED - American Depository Shares,24.27,-26.61022074,-8.8,Strong Sell,23291986,565296500.22,11467771576,,,3388,Technology Services
JNPR,"Juniper Networks, Inc.",34.15,-0.495338,-0.17,Buy,15192862,518836237.2999999,11022203854.311098,45.11762387,0.7821,10191,Technology Services
BSY,"Bentley Systems, Incorporated",38.04,-1.14345114,-0.44,Sell,5264136,200247733.44,10740433630.516888,143.51885099,0.3021,,Technology Services
MMP,Magellan Midstream Partners L.P. Limited Partnership,49.46,5.72894399,2.68,Strong Buy,5139681,254208622.26,10504970973.369238,10.97208855,4.4724,1715,Industrial Services
RYAN,"Ryan Specialty Group Holdings, Inc.",40.48,1.47906744,0.59,Strong Buy,1789932,72456447.36,10486990655.278282,,,,Finance
WES,"Western Midstream Partners, LP",25.6,4.53246223,1.11,Buy,8352371,213820697.60000005,10330789722.439587,11.9302581,2.1864,1127,Energy Minerals
AFRM,"Affirm Holdings, Inc.",35.82,-8.59913243,-3.37,Sell,52871072,1893841799.04,10189248380.489004,,-3.1824,1641,Technology Services
VST,Vistra Corp.,22.51,2.78538813,0.61,Buy,26479024,596042830.24,10102577505.413103,,-2.5787,5060,Utilities
MRVI,"Maravai LifeSciences Holdings, Inc.",39.49,6.41336567,2.38,Buy,12517267,494306873.8300001,10074993412.361023,25.65414508,1.5579,470,Commercial Services
EQT,EQT Corporation,26.36,15.8172232,3.6,Strong Buy,67175532,1770747023.52,9911973137.843058,,-4.2841,693,Energy Minerals
NWL,Newell Brands Inc.,23.15,-3.86212625,-0.93,Sell,16681052,386166353.7999999,9850324873.65659,17.82667265,1.3448,32000,Producer Manufacturing
OGN,Organon & Co.,38.82,3.3271227,1.25,Strong Buy,14199448,551222571.36,9842812418.690926,7.33169238,5.3288,,Health Technology
S,"SentinelOne, Inc.",36.74,-5.35806285,-2.08,Strong Sell,21636330,794918764.2,9806313022.814617,,-0.9036,850,Technology Services
TPR,"Tapestry, Inc.",36.45,-10.57409225,-4.31,Sell,24876825,906760271.2500002,9622424948.732412,13.45412751,3.0335,16400,Retail Trade
PSXP,Phillips 66 Partners LP,42.07,-0.56724179,-0.24,Buy,3270631,137595446.17,9606269600.483715,13.89820279,2.9824,,Industrial Services
ARMK,Aramark,35.98,-4.23210008,-1.59,Neutral,6139849,220911767.02,9227583312.461325,290.76305221,0.1275,248300,Consumer Services
NRG,"NRG Energy, Inc.",37.56,-1.13187681,-0.43,Sell,15017758,564066990.48,9196140090.902088,4.19171077,8.9176,6635,Utilities
BWA,BorgWarner Inc.,36.93,-12.38434164,-5.22,Strong Sell,15981733,590205399.6899999,8862146207.863194,17.80186449,2.2514,49300,Producer Manufacturing
TPG,TPG Inc.,29.2,-5.44041451,-1.68,,2486046,72592543.2,8773557345.422045,,,,Finance
DLO,DLocal Limited,27.98,-8.80052151,-2.7,Sell,3855986,107890488.28,8588102892.005419,,,310,Technology Services
PSTG,"Pure Storage, Inc.",29.41,12.76840491,3.33,Strong Buy,34561304,1016447950.64,8527343523.22516,,-0.7503,3800,Electronic Technology
MAT,"Mattel, Inc.",24.27,-4.56154149,-1.16,Buy,14494523,351782073.21,8502782389.504791,9.89918956,2.5661,36300,Consumer Durables
HESM,Hess Midstream LP,33.49,8.38187702,2.59,Strong Buy,4075853,136500316.97,8483196386.362694,18.36551917,1.7937,199,Energy Minerals
DKNG,DraftKings Inc.,20.69,-6.8018018,-1.51,Sell,150469981,3113223906.8900003,8455530265.658058,,-3.7819,3400,Technology Services
TX,Ternium S.A. Ternium S.A.,41.04,4.08318539,1.61,Neutral,5528617,226894441.68,8301851865.000001,,19.3561,,Non-Energy Minerals
X,United States Steel Corporation,31.42,16.75956893,4.51,Strong Buy,116835464,3670970278.88,8198440363.700099,2.11132964,15.4989,24540,Non-Energy Minerals
WSC,WillScot Mobile Mini Holdings Corp.,36.63,-1.8488746,-0.69,Neutral,10705201,392131512.63000005,8174121943.345504,53.0883842,0.7112,4700,Finance
DBX,"Dropbox, Inc.",22,0.54844607,0.12,Strong Sell,21096750,464128500,8161439157.072296,26.15691802,0.87,2667,Technology Services
HUN,Huntsman Corporation,37.91,-6.39506173,-2.59,Buy,14667914,556060619.74,8132686837.818251,8.24759656,4.7993,9000,Process Industries
USFD,US Foods Holding Corp.,36.43,-7.30279898,-2.87,Buy,10485248,381977584.64,8124632457.686275,70.70063694,0.5436,28000,Distribution Services
ORI,Old Republic International Corporation,26.4,-0.33975085,-0.09,Buy,9561059,252411957.6,8105030696.976483,5.27954595,5.1018,9600,Finance
AR,Antero Resources Corporation,25.42,12.22958057,2.77,Strong Buy,46623205,1185161871.1000001,7999844047.927439,,-0.6316,519,Energy Minerals
CFLT,"Confluent, Inc.",35.6,-15.05607254,-6.31,Strong Sell,14657869,521820136.4,7996185371.792624,,-1.2986,1981,Technology Services
JEF,Jefferies Financial Group Inc.,33,-8.38423098,-3.02,Sell,8160631,269300823,7970170467.442538,5.61014625,6.2789,5556,Finance
OGE,OGE Energy Corp,39.81,7.07369554,2.63,Strong Buy,8356770,332683013.70000005,7970034134.78473,10.64506483,3.683,2185,Utilities
PTON,"Peloton Interactive, Inc.",23.49,-16.67257893,-4.7,Sell,63872845,1500373129.05,7789288520.771207,,-3.7114,8662,Consumer Services
G,Genpact Limited,41.94,-2.07798272,-0.89,Sell,6595887,276631500.78,7766233033.839981,22.23729521,1.9671,,Commercial Services
NYT,New York Times Company (The),46.02,5.11649155,2.24,Buy,9412725,433173604.5,7673917624.899083,34.22423036,1.3097,5000,Consumer Services
UGI,UGI Corporation,36.34,-6.19514713,-2.4,Sell,13381498,486283637.32000005,7624288083.230645,7.42959856,5.1019,5800,Utilities
NVST,Envista Holdings Corporation,46.42,-4.32811212,-2.1,Buy,9942459,461528946.78,7511963179.643982,25.40523017,2.0392,11200,Health Technology
DXC,DXC Technology Company,30,-15.56431185,-5.53,Sell,21032818,630984540,7334336278.238673,,-2.3973,134000,Technology Services
RCM,R1 RCM Inc.,26.18,-3.78537302,-1.03,Buy,5266257,137870608.26,7284423549.486911,,-2.1083,22000,Commercial Services
M,Macy's Inc,24.8,-5.91805766,-1.56,Neutral,59271612,1469935977.6000001,7251520040.015368,5.64911672,4.7162,,Retail Trade
NFE,New Fortress Energy Inc.,34.68,34.10672854,8.82,Strong Buy,8207423,284633429.64,7174017258.290323,,-0.2909,671,Industrial Services
DCP,"DCP Midstream, LP",33.75,5.86574655,1.87,Buy,4117671,138971396.25,7032782580.155785,21.17765349,1.5931,,Industrial Services
RRC,Range Resources Corporation,26.48,13.11405382,3.07,Strong Buy,102247886,2707524021.28,6941625806.582563,15.73722812,1.6874,527,Energy Minerals
MP,MP Materials Corp.,38.95,-16.86232657,-7.9,Sell,18131107,706206617.6500001,6914598538.199051,56.40917405,0.7738,365,Non-Energy Minerals
ONON,On Holding AG,21.97,-8.49645981,-2.04,Sell,11760697,258382513.08999997,6800635243.409091,678.44311377,0.0334,744,Consumer Non-Durables
SWCH,"Switch, Inc.",27.43,5.257099,1.37,Strong Buy,8415374,230833708.82,6769172583.053916,594.15584416,0.0513,829,Technology Services
GNTX,Gentex Corporation,28.47,-5.79086698,-1.75,Sell,7425470,211403130.9,6730915436.849949,19.73807925,1.4962,4998,Producer Manufacturing
CHNG,Change Healthcare Inc.,21.4,1.08644308,0.23,Buy,9806928,209868259.2,6675923571.460464,,-0.2397,15000,Technology Services
CWEN,"Clearway Energy, Inc.",33.56,1.94410693,0.64,Buy,3988932,133868557.92,6675620414.413978,77.54305396,0.4355,304,Utilities
BEPC,Brookfield Renewable Corporation,38.71,8.58345021,3.06,Buy,3768938,145895589.98,6666004526.816472,7.23316221,5.2204,,Utilities
FSK,FS KKR Capital Corp.,23.3,6.63615561,1.45,Strong Buy,9416743,219410111.9,6623598802.881285,2.58070287,8.9433,,Finance
FFIN,"First Financial Bankshares, Inc.",46.18,-3.75156315,-1.8,Sell,2275789,105095936.02,6585546745.938158,29.90689482,1.5993,1484,Finance
REYN,Reynolds Consumer Products Inc.,30.48,0.42833608,0.13,Buy,1528614,46592154.72,6393499146.846383,19.54290141,1.5494,5600,Consumer Non-Durables
CFX,Colfax Corporation,38.9,-8.42749529,-3.58,Sell,8746821,340251336.9,6275751910.369999,78.26257093,0.5184,16200,Producer Manufacturing
VIRT,"Virtu Financial, Inc.",35.11,0.31428571,0.11,Buy,4962049,174217540.39,6246695804.605747,9.25380842,3.9095,973,Finance
FYBR,"Frontier Communications Parent, Inc.",25.27,-8.93693694,-2.48,Strong Sell,3882133,98101500.91,6176518749.382199,1.29811497,20.6027,15600,Communications
HOG,"Harley-Davidson, Inc.",38.95,-4.62781587,-1.89,Buy,9363615,364712804.25,5993648092.056052,9.86063133,4.2299,5800,Consumer Durables
TPX,"Tempur Sealy International, Inc.",32.41,-4.08404854,-1.38,Sell,15605639,505778759.9899999,5869020977.381383,10.80313418,3.1804,12000,Consumer Durables
SKX,"Skechers U.S.A., Inc.",37.44,-21.16234997,-10.05,Sell,13292173,497658957.11999995,5842372387.461369,8.63222528,4.7627,11700,Consumer Non-Durables
MUR,Murphy Oil Corporation,37.35,12.63570567,4.19,Strong Buy,10587653,395448839.55,5769194539.767706,,-0.4831,696,Energy Minerals
FLO,"Flowers Foods, Inc.",26.95,-3.0924128,-0.86,Neutral,10771717,290297773.15,5700911860.265822,28.56404959,0.9734,8900,Consumer Non-Durables
CADE,Cadence Bank,29.3,-5.93900482,-1.85,Neutral,9820333,287735756.90000004,5641604366.161321,16.35583342,,,Finance
NVT,nVent Electric plc,33.66,-1.4059754,-0.48,Neutral,5942715,200031786.89999995,5590145027.666955,21.5045073,1.6255,9900,Electronic Technology
UNM,Unum Group,27.52,-3.50631136,-1,Buy,15473491,425830472.32,5574554418.295311,7.10591745,4.0337,10300,Finance
OZK,Bank OZK,43.04,-9.04480135,-4.28,Sell,3439323,148028461.92,5534987060.566464,10.30092852,4.4835,2542,Finance
AXTA,Axalta Coating Systems Ltd.,24.61,-11.41108711,-3.17,Strong Sell,15018852,369613947.72,5525756267.981769,22.65377856,1.1427,13000,Process Industries
LEGN,Legend Biotech Corporation,35.28,-8.17282665,-3.14,Sell,6894359,243232985.52,5521781375,,-2.5707,882,Health Technology
PPC,Pilgrim's Pride Corporation,22.61,-7.90224033,-1.94,Sell,9892099,223660358.39,5514492663.537923,192.53968254,0.1274,59400,Consumer Non-Durables
NTNX,"Nutanix, Inc.",25.01,-5.65824217,-1.5,Strong Sell,12350904,308896109.04,5483694600.991574,,-5.6473,6080,Technology Services
CDK,"CDK Global, Inc.",46.95,2.19851981,1.01,Buy,4649952,218315246.4,5483015285.845518,5.54387284,8.5748,6500,Commercial Services
VVV,Valvoline Inc.,30.56,-7.42199334,-2.45,Sell,6826971,208632233.76,5481128213.849732,13.81421809,2.3154,9800,Process Industries
ESI,Element Solutions Inc.,22,-11.11111111,-2.75,Sell,8395380,184698360,5459596401.132404,27.79661017,0.8287,5300,Process Industries
CNM,"Core & Main, Inc.",21.45,-3.68208352,-0.82,Sell,4263958,91461899.1,5434910600.090867,43.9058448,0.5013,,Distribution Services
MGY,Magnolia Oil & Gas Corporation,23.8,13.54961832,2.84,Strong Buy,9409339,223942268.2,5392705822.654321,9.67700644,2.3592,192,Energy Minerals
MDU,"MDU Resources Group, Inc.",26.46,-2.39763925,-0.65,Sell,14494091,383513647.86,5380660387.87388,14.3615026,1.8692,12826,Utilities
